y,text,text_pt,processed_text,sentiment_label
neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .","O contrato também inclui o corte e a afiação de peças de vagões nos centros de serviços de aço da Ruukki em Seinajoki e Raahe, ambos no sudoeste da Finlândia, de onde serão entregues à VR para soldagem e montagem.",contract also include cut edge wagon part ruukki steel service centre seinajoki raahe southwestern finland deliver vr weld assembly,2
neutral,"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO .","""Respeitamos a decisão deles ... as discussões estão encerradas"", disse Kai Telanne, CEO da Alma Media.",respect decision discussion close say kai telanne alma medium ceo,2
neutral,Insurance policies should be simple .,As apólices de seguro devem ser simples.,insurance policy simple,2
neutral,The webcast may be followed online on the company website at www.ruukki.com/investors .,O webcast pode ser acompanhado online no site da empresa em www.ruukki.com/investors.,webcast may follow online company website wwwruukkicominvestors,2
neutral,"Finnish publisher Alma Media ( HEL : ALN1V ) said Wednesday it has decided to further extend its EUR1 .85 ( USD2 .75 ) apiece mandatory tender offer for media group Talentum ( HEL : TTM1V ) , which started on 19 August , until 16 November .","A editora finlandesa Alma Media (HEL: ALN1V) disse na quarta-feira que decidiu estender ainda mais sua oferta obrigatória de € 1,85 (US $ 2,75) cada para o grupo de mídia Talentum (HEL: TTM1V), que começou em 19 de agosto, até 16 de novembro.",finnish publisher alma medium hel alnv say wednesday decide extend eur usd apiece mandatory tender offer medium group talentum hel ttmv start august november,2
neutral,The contract is for next year .,O contrato é para o ano que vem.,contract next year,2
neutral,Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM .,A Altimo concordou anteriormente com um acordo semelhante com a Telenor para fundir suas participações na VimpelCom e Kyivstar-GSM.,altimo previously agree similar deal telenor merge stake vimpelcom kyivstargsm,2
negative,55 workers in +_m+_l will be affected by the close-down .,55 trabalhadores em + _m + _l serão afetados pelo fechamento.,worker ml affect closedown,1
neutral,"The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said .","A transação, que inclui US $ 1,5 bilhão de euros1 bilhão em dinheiro, notas de fornecedores e compra de ações, deve ser concluída no primeiro trimestre de 2008, disse a fabricante de papel sueco-finlandesa.",transaction include u billion euro billion cash vendor note share purchase expect complete first quarter finnishswedish paper maker say,2
neutral,Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,Mercado farmacêutico na Bélgica A Global Research & Data Services publicou recentemente uma análise de mercado sobre os mercados farmacêuticos na Bélgica.,pharmaceutical market belgium global research data service publish recently market analysis pharmaceutical market belgium,2
negative,- The Group -ì s result before taxes was EUR -1.9 ( -3.0 ) million .,"- O resultado do Grupo antes de impostos foi de EUR -1,9 (-3,0) milhões.",group result tax eur million,1
negative,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .","As vendas do período caíram para 30,6 milhões de euros, de 38,3 milhões de euros, de acordo com o relatório provisório divulgado hoje.",period sale drop eur million eur million accord interim report release today,1
neutral,"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .","Segundo Pietinalho, os médicos devem motivar seus pacientes que fumam cada vez que vão ao médico.",accord pietinalho doctor motivate patient smoke every time visit doctor,2
positive,Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,A fabricante finlandesa de elevadores e escadas rolantes KONE Corporation disse na terça-feira (18 de março) que recebeu um grande pedido de Sir Robert McAlpine para fornecer todos os elevadores e escadas rolantes para o projeto Watermark Place na cidade de Londres.,finnish elevator escalator maker kone corporation say tuesday march receive major order sir robert mcalpine supply elevator escalator watermark place project city london,0
positive,Singapore in May 2011 1 July 2010 - Finnish air carrier Finnair Oyj ( HEL : FIA1S ) said today it will open a daily route to Singapore on 30 May 2011 as part of its growth strategy in Asia .,Cingapura em maio de 2011 1 de julho de 2010 - A transportadora aérea finlandesa Finnair Oyj (HEL: FIA1S) disse hoje que abrirá uma rota diária para Cingapura em 30 de maio de 2011 como parte de sua estratégia de crescimento na Ásia.,singapore may july finnish air carrier finnair oyj hel fias say today open daily route singapore may part growth strategy asia,0
positive,"In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network .","Em 2006, a empresa pretende investir significativamente na expansão de sua rede de distribuição e manutenção.",company intend invest significantly expand distribution maintenance network,0
negative,Altogether Finnair has canceled over 500 flights because of the strike .,"Ao todo, a Finnair cancelou mais de 500 voos por causa da greve.",altogether finnair cancel flight strike,1
neutral,"HK Ruokatalo produces many turkey products , such as cold cuts .","HK Ruokatalo produz muitos produtos de peru, como charcutaria.",hk ruokatalo produce many turkey product cold cut,2
positive,"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .","A oferta de Raisio para comprar a Glisten é um negócio ""ganha-ganha"" para ambas as empresas, disse o presidente da empresa de lanches do Reino Unido à just-food hoje, 10 de fevereiro.",raisio bid buy glisten winwin deal company chairman uk snack firm tell justfood today february,0
neutral,"According to the company , the lay-offs will be temporary .","Segundo a empresa, as demissões serão temporárias.",accord company layoff temporary,2
neutral,"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .","A oferta de serviço global da Elcoteq cobre todo o ciclo de vida dos produtos, desde o desenvolvimento do produto até os serviços pós-venda.",elcoteq global service offer cover entire lifecycle product product development aftermarket service,2
neutral,"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .","YIT CORPORATION SEPT. 24, 2007 às 13:30 LIBERTAÇÃO CORPORATIVA DA BOLSA DE AÇÕES DIA DO MERCADO DE CAPITAIS EM LONDRES, SETEMBRO. 26 de setembro de 2007 Na quarta-feira, 26 de setembro de 2007, o YIT realizará o Dia do Mercado de Capitais para investidores e analistas em Londres.",yit corporation sept corporate release stock exchange release yit capital market day london sept wednesday september yit hold capital market day investor analyst london,2
neutral,"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .","Aldata Solution, uma empresa global que atua na otimização de processos de negócios de fornecedores para consumidores, anunciou os detalhes de seu programa Dólares para Dinossauros.",aldata solution global company engage supplier consumer business process optimization announce detail dollar dinosaurs program,2
neutral,"The contract includes software licences , application maintenance and training .","O contrato inclui licenças de software, manutenção de aplicativos e treinamento.",contract include software licence application maintenance training,2
neutral,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .","A América Latina atualmente responde por aproximadamente 40% das vendas da BSS-OSS e fornecedora de VAS finlandesa para operadoras de telecomunicações Tecnotree, disse o presidente da empresa e CEO Eero Mertano à BNamericas.",latin america currently account approximately sale finnish bssoss va supplier telecom operator tecnotree company president ceo eero mertano tell bnamericas,2
negative,"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .","O lucro no período totalizou EUR 1,1 milhões, abaixo dos EUR 1,6 milhões no terceiro trimestre de 2008.",profit period total eur mn eur mn third quarter,1
neutral,"Tecnomen , headquartered in Espoo , Finland , develops messaging and charging solutions for telecomms operators and service providers worldwide .","A Tecnomen, sediada em Espoo, Finlândia, desenvolve soluções de mensagens e cobrança para operadoras de telecomunicações e provedores de serviços em todo o mundo.",tecnomen headquarter espoo finland develop message charge solution telecomms operator service provider worldwide,2
neutral,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',Os dados de imagem produzidos pelo navegador no servidor do telefone são convertidos em uma imagem de bitmap que é enviada ao aparelho para exibição. '',image data produce browser phone server convert bitmapped image send handset display,2
positive,"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''","`` Adaptamos nossas soluções para atender aos requisitos técnicos da Solel, e o resultado é uma fabricação econômica e refletores da mais alta qualidade. ''",tailored solution meet solel technical requirement result costeffective manufacturing highestquality reflector,0
negative,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .","Somente em setembro, o mercado caiu 10,2% com relação ao ano anterior, para 19,28 milhões de litros.",september alone market decline percent yearonyear million liter,1
positive,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .","O cash flow das operações totalizou EUR 2,71 milhões, face a EUR 0,83 milhões negativos no período correspondente em 2008.",cash flow operation total eur mn compare negative eur mn correspond period,0
positive,The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,"A empresa reporta uma perda no período de EUR 0,4 milhões em comparação com uma perda de EUR 1,9 milhões no período correspondente em 2005.",company report loss period eur mn compare loss eur mn corresponding period,0
neutral,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .","A empresa gera vendas líquidas de cerca de 600 milhões de euros US $ 775,5 milhões anualmente e emprega 6.000.",company generate net sale mln euro mln annually employ,2
positive,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .","Em setembro de 2010, o grupo finlandês concordou em comprar a empresa dinamarquesa Rose Poultry A-S por até EUR 23,9 milhões em uma combinação de dinheiro e ações.",september finnish group agree buy danish company rise poultry eur combination cash stock,0
neutral,"`` The biggest challenge was to make the piece look raw , '' Hansen said .","“O maior desafio foi fazer a peça parecer crua”, disse Hansen.",big challenge make piece look raw hansen say,2
negative,Possible personnel reductions concern approximately 104 people .,As possíveis reduções de pessoal dizem respeito a aproximadamente 104 pessoas.,possible personnel reduction concern approximately people,1
positive,Return on capital employed rose by 4.8 percentage points to 19.6 % .,"O retorno sobre o capital empregado aumentou 4,8 pontos percentuais para 19,6%.",return capital employ rise percentage point,0
positive,The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,A expansão inclui a duplicação da área útil e a adição de mais capacidade de elevação e equipamentos de produção.,expansion include double floor space addition lift capacity production equipment,0
neutral,"In April 2010 , Olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape .","Em abril de 2010, a linha de cidras de Olvi se expandirá com uma cidra de morango-ruibarbo e uma cidra de maçã e pêra em garrafas verdes com um novo formato.",april olvi range cider expand strawberryrhubarb applepear cider green bottle new shape,2
positive,"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .","O lucro líquido da empresa ascendeu a 55,5 milhões de EE, 36% mais do que em 2004.",company net profit amount ee mn,0
neutral,"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe .","Esta avaliação da A.M. Best é o mais alto entre os países da CEI, Europa Central e Oriental.",rating best high among cis country central eastern europe,2
positive,Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,O início das obras de construção do Pearl Plaza é um passo significativo em nossos projetos russos.,commence construction work pearl plaza significant step russian project,0
positive,The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,A empresa disse ter observado uma atual estabilização dos preços e que há potencial para preços mais altos para entregas no primeiro trimestre de 2011.,company say observed current stabilisation price potential high price delivery first quarter,0
neutral,"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",A operadora é uma das 6 operadoras que receberam uma licença WiMAX em Taiwan e espera ser a primeira a lançar serviços comerciais no início de 2009.,operator one operator grant wimax license taiwan hop first launch commercial service early,2
positive,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,O crescimento das vendas líquidas no primeiro semestre de 2008 foi de 28% em relação ao primeiro semestre de 2007.,growth net sale first half compare first half,0
neutral,One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,Um dos maiores projetos da divisão de revistas da SanomaWSOY - Sanoma Magazines International em 2006 foi o lançamento da revista russa Gloriya.,one large project magazine division sanomawsoy sanoma magazine international become launch russian magazine gloriya,2
neutral,Saunalahti is a part of the Elisa group .,Saunalahti faz parte do grupo Elisa.,saunalahti part elisa group,2
neutral,Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,A Capitex Kalmar continuará sendo responsável pela manutenção e desenvolvimento técnico dos serviços.,capitex kalmar continue responsible maintenance technical development service,2
negative,EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .,A EB anunciou em seu comunicado à bolsa de valores em 18 de novembro de 2008 que J.T. Bergqvist renunciou à presidência e membro do Conselho de EB.,eb announce stock exchange release november th jt bergqvist resign chairmanship membership board eb,1
positive,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .","29 de setembro de 2010 A empresa finlandesa de gestão de resíduos e reciclagem Lassila & Tikanoja expande suas operações na Rússia com a introdução de sua fábrica de reciclagem recém-concluída na cidade de Dubna, perto de Moscou.",september finnish waste management recycle company lassila tikanoja expand operation russia introduce recently complete recycling plant city dubna near moscow,0
neutral,"The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said .","As conversas envolveram as divisões de alimentos e ingredientes, bem como funções de serviço do grupo, disse a empresa.",talk involve food ingredient division well group service function company say,2
positive,Net sales revenue per passenger is expected to increase .,A receita líquida de vendas por passageiro deve aumentar.,net sale revenue per passenger expect increase,0
positive,The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .,O serviço direto do FESCO é um exemplo revelador de fortalecimento do relacionamento entre empresas de logística e operadores em nível internacional.,service fesco tell example strengthen relationship logistics company operators international level,0
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"O lucro operacional aumentou para EUR 13,1 milhões de EUR 8,7 milhões no período correspondente em 2007, representando 7,7% das vendas líquidas.",operating profit rise eur mn eur mn correspond period represent net sale,0
positive,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .","No período do relatório, o lucro operacional da empresa cresceu 43,2% para 6 milhões de euros.",report period company operating profit grow eur million,0
neutral,"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .","O correspondente aumento do capital social decorrente dessas subscrições com bônus de subscrição, no total de 1.860,74 euros, foi registrado no Registo Comercial da Finlândia em 4 de janeiro de 2008.",correspond increase share capital due subscription warrant total eur register finnish trade register january,2
negative,"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .","Às 10.33, Huhtamaki foi a maior queda do mercado, 8,69 por cento mais baixo para 11,35 euros, enquanto o OMX Helsinki 25 estava 0,32 por cento mais alto para 3.332,41, e o OMX Helsinque subiu 0,47 por cento para 11.687,32.",huhtamaki market big faller pct lower eur omx helsinki pct high omx helsinki pct,1
positive,"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .","`Nossa cooperação estratégica com Rentakran nos traz novos clientes e relações que já funcionam com as autoridades dos novos territórios ', disse Jarmo Laasanen, gerente sênior da Cramo.",strategic cooperation rentakran bring u new customer alreadyworking relationship authority new territory say jarmo laasanen senior manager cramo,0
neutral,"TeliaSonera s subsidiary , the mobile operator EMT in Estonia , has created a world s first mobile identification service which makes it possible to vote via a mobile phone .","A subsidiária da TeliaSonera, a operadora móvel EMT na Estônia, criou o primeiro serviço de identificação móvel do mundo que torna possível votar através de um telefone móvel.",teliasonera subsidiary mobile operator emt estonia create world first mobile identification service make possible vote via mobile phone,2
neutral,This wood lacquered clock comes with a stripy hand-crocheted cover .,Este relógio lacado de madeira vem com uma capa listrada de crochê à mão.,wood lacquer clock come stripy handcrocheted cover,2
neutral,"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .","O início das negociações, relativas ao programa de eficiência da Glaston, foi anunciado em outubro.",start negotiation relate glaston efficiency program announce october,2
negative,"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .","O resultado operacional mostrou uma perda de EUR 2,9 milhões, enquanto um ano antes, ele mostrou um lucro de EUR 0,6 milhões.",operating result show loss eur mn year show profit eur mn,1
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","O acordo foi assinado com a Biohit Healthcare Ltd, subsidiária da Biohit Oyj, com sede no Reino Unido, uma empresa pública finlandesa que desenvolve, fabrica e comercializa produtos de manuseio de líquidos e sistemas de teste de diagnóstico.",agreement sign biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develop manufacture market liquid handle product diagnostic test system,0
neutral,The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .,"Prevê-se que o Banco Central Europeu (BCE) aumente a sua taxa de juro de referência no segundo semestre de 2011, no mínimo.",european central bank ecb anticipate raise benchmark interest rate second half early,2
neutral,The original patent was filed in Finland under application No. .,A patente original foi depositada na Finlândia sob o pedido nº.,original patent file finland application,2
negative,Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .,"O lucro operacional caiu para EUR 23,26 milhões, de EUR 32,86 milhões.",operating profit fell eur mn eur mn,1
neutral,This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,Esta solução é uma extensão da solução de mediação online existente fornecida anteriormente pela Comptel e IBM.,solution extension exist online mediation solution deliver earlier comptel ibm,2
neutral,"UPM is talking to Myllykoski+à s creditor banks -- Nordea ( STO : NDA ) , Nordic Investment Bank and Danske Bank+à s ( CPH : DANSKE ) Sampo Bank -- over a deal , the paper said .","A UPM está conversando com os bancos credores da Myllykoski + à - Nordea (STO: NDA), Nordic Investment Bank e Danske Bank + à s (CPH: DANSKE) Sampo Bank - sobre um negócio, disse o jornal.",upm talk myllykoski creditor bank nordea sto nda nordic investment bank danske bank cph danske sampo bank deal paper say,2
neutral,"PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant , and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .","A PGE Belchatow administra a usina termelétrica a carvão de 4,44 GW Belchatow, e a Fortum tem a intenção de iniciar um projeto de demonstração CCS em conjunto com a Teollisuuden Voima Oyj (TVO) - outra concessionária finlandesa - em sua usina termelétrica a carvão Meri-Pori de 565MW.",pge belchatow run gw belchatow coalfired power plant fortum intention start ccs demonstration project jointly teollisuuden voima oyj tvo another finnish utility jointly own mw meripori coalfired facility,2
positive,"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .","A economia de custos aumentará para cerca de 20 milhões de euros por ano a partir de 2007, disse a OKO.",cost saving rise mln eur year oko say,0
neutral,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .","O relatório perfis 614 empresas, incluindo muitos jogadores importantes e de nicho em todo o mundo, como Black & Decker Corporation, Fiskars Corporation, Fiskars Brands, Inc., Husqvarna Outdoor Products Inc., Grupo K + S, Ryobi Technologies, Inc., The Scotts Miracle-Gro Company e Van Group, Inc..",report profile company include many key niche player worldwide black decker corporation fiskars corporation fiskars brand inc husqvarna outdoor product inc k group ryobi technology inc scotts miraclegro company van group inc,2
positive,"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .","A Wartsila ganhou o contrato em outubro de 2007 e a fábrica será instalada em Manturovo, na região de Kostroma, na Rússia, cerca de 600 km a nordeste de Moscou, na Rússia.",wartsila contract october plant instal manturovo kostroma region russia km northeast moscow russia,0
negative,"More than 14,000 customers were left powerless .",Mais de 14.000 clientes ficaram impotentes.,customer leave powerless,1
negative,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,"O lucro diluído por ação (EPS) foi de EUR 0,25 contra EUR 0,42.",dilute earnings per share eps stand eur versus eur,1
neutral,"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",A usina entrará em operação em novembro de 2008 e sua produção diária estimada será de 120 mil litros de bioetanol.,plant go stream november estimate daily production litre bioethanol,2
neutral,"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation .","A reorganização será realizada através da transferência dos bens, instalações e equipamentos relacionados à produção da HKScan Corporation na Finlândia, bem como suas participações em subsidiárias e associadas, para a HKScan Finland Oy, uma holding totalmente controlada pela HKScan Corporation.",reorganisation carry transferring hkscan corporation productionrelated property plant equipment finland well holding subsidiary associate hkscan finland oy hold company wholly own hkscan corporation,2
negative,Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,"As vendas na unidade caíram no ano passado, depois que a indústria foi atingida por uma fraca nevasca nos principais resorts no inverno de 2006-07.",sale unit slump last year industry hit poor snowfall major resort winter,1
neutral,Finnish publishing and printing group Ilkka-Yhtym+∆ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,O grupo finlandês de publicação e impressão Ilkka-Yhtym + ∆ introduzirá a proibição de fumar entre os funcionários a partir do início de 2007 nos três jornais da empresa.,finnish publishing print group ilkkayhtym introduce staff smoking ban begin company three newspaper,2
positive,"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .","No entanto, o Simdax permanecerá disponível nos mercados onde já foi aprovado, uma vez que possui autorizações de comercialização ou apresentou pedidos em mais de 40 países, acrescentou Orion.",however simdax remain available market already approve marketing authorisation submit application country orion add,0
neutral,Deliveries by Outotec will take place over 30 months .,As entregas da Outotec ocorrerão em 30 meses.,delivery outotec take place month,2
neutral,Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,"O Incap estima que irá gerar uma receita de 10 milhões de euros (US $ 13,2 milhões) com suas operações na Índia em 2007.",incap estimate generate revenue mln euro mln indian operation,2
negative,"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .","Como resultado dessas transações, as participações agregadas do Burrill Life Sciences Capital Fund, L.P. diminuíram para menos de 5 por cento do número total de ações e votos da Empresa.",result transaction aggregate holding burrill life science capital fund lp decrease per cent total number share vote company,1
positive,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .","Stonesoft Oyj, desenvolvedor finlandês de soluções de software de segurança e privacidade, disse em 7 de janeiro de 2008 que as vendas preliminares de seus produtos StoneGate cresceram 59 por cento no comparativo anual para 3,6 milhões de euros (US $ 5,3 milhões) no quarto trimestre de 2007.",finnish security privacy software solution developer stonesoft oyj say january preliminary sale stonegate product grow pct yearonyear mln euro mln fourth quarter,0
neutral,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,A planta usaria óleo de palma certificado pela Roundtable on Sustainable Palm Oil (RSPO).,plant would use palm oil certify roundtable sustainable palm oil rspo,2
neutral,"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .","A Motorola, segunda maior fabricante mundial de telefones celulares, revelou o novo telefone na terça-feira em uma tentativa de ressuscitar seu negócio de aparelhos em dificuldades.",motorola world secondlargest maker cell phone unveil new phone tuesday bid resurrect ail handset business,2
positive,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,"Essas mudanças moderadas, mas significativas, resultaram em uma redução significativa de 24-32% no risco estimado de DCV.",moderate significant change result significant reduction estimate cvd risk,0
neutral,"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .","CapMan, uma gestora de ativos, tem EUR 3 bilhões em ativos sob gestão na região nórdica.",capman asset manager eur bn worth asset management nordic region,2
neutral,"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .","Com o Governo Federal dos Estados Unidos apostando no terreno, os fornecedores - e seus clientes - estão focados em cumprir o prazo.",u federal government put stake ground vendor customer focus meet deadline,2
positive,"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .","Além disso, está trazendo ""o tipo certo de pessoas"" para atualizar seus recursos humanos.",also bring right kind people upgrade human resource,0
neutral,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .","As ofertas ou ofertas incluem pelo menos 1.000 ações e o valor das ações deve corresponder a, pelo menos, EUR4.000.",bid offer include least share value share must correspond least eur,2
positive,"It provides customers with industry-leading elevators , escalators and innovative solutions for maintenance and modernization .","Fornece aos clientes elevadores, escadas rolantes e soluções inovadoras para manutenção e modernização líderes do setor.",provide customer industryleading elevator escalator innovative solution maintenance modernization,0
neutral,"UPM is the biggest producer of magazine paper in Europe , with a market share of over 30 pct , and it is likely to say that prices in the segment were at best flat during the quarter , analysts said .","A UPM é a maior produtora de papel para revistas da Europa, com uma participação de mercado de mais de 30 por cento, e é provável que os preços no segmento tenham ficado estáveis durante o trimestre, disseram os analistas.",upm big producer magazine paper europe market share pct likely say price segment best flat quarter analyst say,2
neutral,Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,Valmet Automotive reporta vendas líquidas de EUR 85 milhões e lucro operacional de EUR 8 milhões.,valmet automotive report net sale eur mn operating profit eur mn,2
positive,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","no primeiro trimestre de 2010, 19 de abril de 2010 - A fabricante finlandesa de máquinas e equipamentos florestais Ponsse Oyj HEL: PON1V disse hoje que espera atingir um lucro líquido de cerca de 6,3 milhões de euros no primeiro trimestre de 2010, de um prejuízo de 9,6 milhões de euros um ano antes.",q april finnish forest machinery equipment maker ponsse oyj hel ponv say today expect swing net profit eur first quarter eur loss year earlier,0
neutral,The company closed last year with a turnover of about four million euros .,A empresa fechou o ano passado com um faturamento de cerca de quatro milhões de euros.,company close last year turnover four million euro,2
neutral,The firm generated sales of 187 mln eur in 2005 .,A empresa gerou vendas de 187 milhões de euros em 2005.,firm generate sale mln eur,2
neutral,Both companies will keep their commercial independence and continue to market their traditional products individually .,Ambas as empresas manterão sua independência comercial e continuarão a comercializar seus produtos tradicionais individualmente.,company keep commercial independence continue market traditional product individually,2
neutral,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .","A Assembleia Geral Anual aprovou um dividendo de 0,10 euros por ação, ou seja, um total de 7,8 milhões de euros.",annual general meeting approve dividend eur per share total eur million,2
positive,"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .","A torre que optou por adicionar, que deve entrar em operação no verão, aumentará a capacidade total para 80 páginas broadsheet ou 160 tablóides, com capacidade para rodar produtos de 32 e 48 páginas lado a lado.",tower chose add due go operation summer increase total capacity broadsheet tabloid page ability run page product side side,0
